frame,timestamp_s,conf,det_px_x,det_px_y,det_w,det_h,center_dist,drone_lat,drone_lon,drone_alt_m,drone_yaw,target_lat,target_lon
2641,88.03,0.577,134,591,91,93,0.820,51.4233490,-2.6716380,20.9,153.0,51.4233903,-2.6715299
2647,88.23,0.663,182,584,88,84,0.754,51.4233520,-2.6716290,20.9,153.0,51.4233896,-2.6715293
2653,88.43,0.658,229,582,86,86,0.689,51.4233540,-2.6716200,20.9,153.0,51.4233886,-2.6715290
2659,88.63,0.661,286,582,84,86,0.611,51.4233580,-2.6716100,20.9,153.0,51.4233891,-2.6715299
2665,88.83,0.620,343,577,91,95,0.532,51.4233610,-2.6715990,20.9,153.0,51.4233881,-2.6715292
2671,89.03,0.635,402,573,93,86,0.451,51.4233650,-2.6715880,21.0,153.0,51.4233881,-2.6715289
2677,89.23,0.608,464,571,91,91,0.366,51.4233680,-2.6715780,21.0,153.0,51.4233872,-2.6715304
2683,89.43,0.609,523,571,93,95,0.286,51.4233720,-2.6715670,21.0,152.9,51.4233877,-2.6715306
2689,89.63,0.670,584,571,91,86,0.204,51.4233750,-2.6715560,21.0,153.0,51.4233869,-2.6715312
2695,89.83,0.650,643,568,93,88,0.125,51.4233790,-2.6715450,21.0,153.0,51.4233870,-2.6715311
2701,90.03,0.645,702,571,91,91,0.061,51.4233820,-2.6715340,21.0,153.0,51.4233868,-2.6715317
2707,90.23,0.665,759,571,86,84,0.065,51.4233860,-2.6715230,21.0,153.0,51.4233873,-2.6715315
2713,90.43,0.689,821,566,93,88,0.134,51.4233890,-2.6715120,21.0,153.0,51.4233860,-2.6715318
2719,90.63,0.633,884,568,91,93,0.219,51.4233930,-2.6715000,21.0,153.0,51.4233864,-2.6715320
2725,90.83,0.693,948,566,88,86,0.305,51.4233960,-2.6714880,21.0,153.0,51.4233853,-2.6715320
2731,91.03,0.602,1014,566,88,91,0.395,51.4234000,-2.6714770,21.0,153.0,51.4233853,-2.6715336
2737,91.23,0.686,1080,561,95,95,0.485,51.4234040,-2.6714650,21.0,152.9,51.4233846,-2.6715336
2743,91.43,0.690,1144,561,91,93,0.572,51.4234070,-2.6714540,21.0,153.0,51.4233839,-2.6715348
2749,91.63,0.710,1208,561,95,95,0.660,51.4234110,-2.6714430,21.0,153.0,51.4233840,-2.6715360
